State_Alpha,fips2010,State,County,cbsasub,Metro_Area_Name,County_Name,median2017,l50_1,l50_2,l50_3,l50_4,l50_5,l50_6,l50_7,l50_8,ELI_1,ELI_2,ELI_3,ELI_4,ELI_5,ELI_6,ELI_7,ELI_8,l80_1,l80_2,l80_3,l80_4,l80_5,l80_6,l80_7,l80_8,MSA,county_town_name,state_name,metro
CA,0603599999,6,35,NCNTY06035N06035,"Lassen County, CA",Lassen County,68800,24100,27550,31000,34400,37200,39950,42700,45450,14500,16550,20420,24600,28780,32960,37140,41320,38550,44050,49550,55050,59500,63900,68300,72700,9999,Lassen County,California,0
CA,0603799999,6,37,METRO31080MM4480,"Los Angeles-Long Beach-Glendale, CA HUD Metro FMR Area",Los Angeles County,64300,31550,36050,40550,45050,48700,52300,55900,59500,18950,21650,24350,27050,29250,32960,37140,41320,50500,57700,64900,72100,77900,83650,89450,95200,4480,Los Angeles County,California,1
CA,0603999999,6,39,METRO31460M31460,"Madera, CA MSA",Madera County,51300,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,2840,Madera County,California,1
CA,0604199999,6,41,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",Marin County,115300,46100,52650,59250,65800,71100,76350,81600,86900,27650,31600,35550,39500,42700,45850,49000,52150,73750,84300,94850,105350,113800,122250,130650,139100,7360,Marin County,California,1
CA,0604399999,6,43,NCNTY06043N06043,"Mariposa County, CA",Mariposa County,65500,22950,26200,29500,32750,35400,38000,40650,43250,13800,16240,20420,24600,28780,32960,37140,41320,36700,41950,47200,52400,56600,60800,65000,69200,9999,Mariposa County,California,0
CA,0604599999,6,45,NCNTY06045N06045,"Mendocino County, CA",Mendocino County,59500,21050,24050,27050,30050,32500,34900,37300,39700,12650,16240,20420,24600,28780,32960,37140,39700,33700,38500,43300,48100,51950,55800,59650,63500,9999,Mendocino County,California,0
CA,0604799999,6,47,METRO32900M32900,"Merced, CA MSA",Merced County,48500,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,4940,Merced County,California,1
CA,0604999999,6,49,NCNTY06049N06049,"Modoc County, CA",Modoc County,48000,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Modoc County,California,0
CA,0605199999,6,51,NCNTY06051N06051,"Mono County, CA",Mono County,75800,26550,30350,34150,37900,40950,44000,47000,50050,15950,18200,20500,24600,28780,32960,37140,41320,42500,48550,54600,60650,65550,70400,75250,80100,9999,Mono County,California,0
CA,0605399999,6,53,METRO41500M41500,"Salinas, CA MSA",Monterey County,63100,28500,32600,36650,40700,44000,47250,50500,53750,17100,19550,22000,24600,28780,32960,37140,41320,45600,52100,58600,65100,70350,75550,80750,85950,7120,Monterey County,California,1
CA,0605599999,6,55,METRO34900M34900,"Napa, CA MSA",Napa County,91000,32600,37250,41900,46550,50300,54000,57750,61450,19600,22400,25200,27950,30200,32960,37140,41320,52150,59600,67050,74500,80500,86450,92400,98350,8720,Napa County,California,1
CA,0605799999,6,57,NCNTY06057N06057,"Nevada County, CA",Nevada County,69600,26750,30550,34350,38150,41250,44300,47350,50400,16050,18350,20650,24600,28780,32960,37140,41320,42750,48850,54950,61050,65950,70850,75750,80600,9999,Nevada County,California,0
CA,0605999999,6,59,METRO31080MM5945,"Santa Ana-Anaheim-Irvine, CA HUD Metro FMR Area",Orange County,88000,36550,41750,46950,52150,56350,60500,64700,68850,21950,25050,28200,31300,33850,36350,38850,41350,58450,66800,75150,83450,90150,96850,103500,110200,5945,Orange County,California,1
CA,0606199999,6,61,METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Placer County,75200,26000,29700,33400,37100,40100,43050,46050,49000,15600,17800,20420,24600,28780,32960,37140,41320,41550,47500,53450,59350,64100,68850,73600,78350,6920,Placer County,California,1
CA,0606399999,6,63,NCNTY06063N06063,"Plumas County, CA",Plumas County,62600,21950,25050,28200,31300,33850,36350,38850,41350,13200,16240,20420,24600,28780,32960,37140,41320,35100,40100,45100,50100,54150,58150,62150,66150,9999,Plumas County,California,0
CA,0606599999,6,65,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",Riverside County,63200,22600,25800,29050,32250,34850,37450,40000,42600,13550,16240,20420,24600,28780,32960,37140,41320,36150,41300,46450,51600,55750,59900,64000,68150,6780,Riverside County,California,1
CA,0606799999,6,67,METRO40900M40900,"Sacramento--Roseville--Arden-Arcade, CA HUD Metro FMR Area",Sacramento County,75200,26000,29700,33400,37100,40100,43050,46050,49000,15600,17800,20420,24600,28780,32960,37140,41320,41550,47500,53450,59350,64100,68850,73600,78350,6920,Sacramento County,California,1
CA,0606999999,6,69,METRO41940N06069,"San Benito County, CA HUD Metro FMR Area",San Benito County,73400,29300,33450,37650,41800,45150,48500,51850,55200,17600,20100,22600,25100,28780,32960,37140,41320,46850,53550,60250,66900,72300,77650,83000,88350,9999,San Benito County,California,1
CA,0607199999,6,71,METRO40140M40140,"Riverside-San Bernardino-Ontario, CA MSA",San Bernardino County,63200,22600,25800,29050,32250,34850,37450,40000,42600,13550,16240,20420,24600,28780,32960,37140,41320,36150,41300,46450,51600,55750,59900,64000,68150,6780,San Bernardino County,California,1
CA,0607399999,6,73,METRO41740M41740,"San Diego-Carlsbad, CA MSA",San Diego County,79300,31850,36400,40950,45450,49100,52750,56400,60000,19100,21800,24550,27250,29450,32960,37140,41320,50950,58200,65500,72750,78600,84400,90250,96050,7320,San Diego County,California,1
CA,0607599999,6,75,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",San Francisco County,115300,46100,52650,59250,65800,71100,76350,81600,86900,27650,31600,35550,39500,42700,45850,49000,52150,73750,84300,94850,105350,113800,122250,130650,139100,7360,San Francisco County,California,1
CA,0607799999,6,77,METRO44700M44700,"Stockton-Lodi, CA MSA",San Joaquin County,61100,21400,24450,27500,30550,33000,35450,37900,40350,12850,16240,20420,24600,28780,32960,37140,40350,34250,39150,44050,48900,52850,56750,60650,64550,8120,San Joaquin County,California,1
CA,0607999999,6,79,METRO42020M42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA MSA",San Luis Obispo County,83200,28600,32700,36800,40850,44150,47400,50700,53950,17150,19600,22050,24600,28780,32960,37140,41320,45750,52300,58850,65350,70600,75850,81050,86300,7460,San Luis Obispo County,California,1
CA,0608199999,6,81,METRO41860MM7360,"San Francisco, CA HUD Metro FMR Area",San Mateo County,115300,46100,52650,59250,65800,71100,76350,81600,86900,27650,31600,35550,39500,42700,45850,49000,52150,73750,84300,94850,105350,113800,122250,130650,139100,7360,San Mateo County,California,1
CA,0608399999,6,83,METRO42200M42200,"Santa Maria-Santa Barbara, CA MSA",Santa Barbara County,73900,31500,36000,40500,45000,48600,52200,55800,59400,18900,21600,24300,27000,29200,32960,37140,41320,50450,57650,64850,72050,77850,83600,89350,95150,7480,Santa Barbara County,California,1
CA,0608599999,6,85,METRO41940M41940,"San Jose-Sunnyvale-Santa Clara, CA HUD Metro FMR Area",Santa Clara County,113300,41800,47800,53750,59700,64500,69300,74050,78850,25100,28650,32250,35800,38700,41550,44400,47300,59350,67800,76300,84750,91550,98350,105100,111900,7400,Santa Clara County,California,1
CA,0608799999,6,87,METRO42100M42100,"Santa Cruz-Watsonville, CA MSA",Santa Cruz County,83300,35100,40100,45100,50100,54150,58150,62150,66150,21050,24050,27050,30050,32500,34900,37300,41320,56200,64200,72250,80250,86700,93100,99550,105950,7485,Santa Cruz County,California,1
CA,0608999999,6,89,METRO39820M39820,"Redding, CA MSA",Shasta County,61800,21650,24750,27850,30900,33400,35850,38350,40800,13000,16240,20420,24600,28780,32960,37140,40800,34650,39600,44550,49450,53450,57400,61350,65300,6690,Shasta County,California,1
CA,0609199999,6,91,NCNTY06091N06091,"Sierra County, CA",Sierra County,59500,23500,26850,30200,33550,36250,38950,41650,44300,14150,16240,20420,24600,28780,32960,37140,41320,37600,43000,48350,53700,58000,62300,66600,70900,9999,Sierra County,California,0
CA,0609399999,6,93,NCNTY06093N06093,"Siskiyou County, CA",Siskiyou County,47500,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Siskiyou County,California,0
CA,0609599999,6,95,METRO46700M46700,"Vallejo-Fairfield, CA MSA",Solano County,80400,28150,32200,36200,40200,43450,46650,49850,53100,16900,19300,21700,24600,28780,32960,37140,41320,45050,51450,57900,64300,69450,74600,79750,84900,8720,Solano County,California,1
CA,0609799999,6,97,METRO42220M42220,"Santa Rosa, CA MSA",Sonoma County,83900,30850,35250,39650,44050,47600,51100,54650,58150,18550,21200,23850,26450,28780,32960,37140,41320,49350,56400,63450,70500,76150,81800,87450,93100,7500,Sonoma County,California,1
CA,0609999999,6,99,METRO33700M33700,"Modesto, CA MSA",Stanislaus County,57500,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,5170,Stanislaus County,California,1
CA,0610199999,6,101,METRO49700M49700,"Yuba City, CA MSA",Sutter County,55500,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9340,Sutter County,California,1
CA,0610399999,6,103,NCNTY06103N06103,"Tehama County, CA",Tehama County,51300,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Tehama County,California,0
CA,0610599999,6,105,NCNTY06105N06105,"Trinity County, CA",Trinity County,50800,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9999,Trinity County,California,0
CA,0610799999,6,107,METRO47300M47300,"Visalia-Porterville, CA MSA",Tulare County,47300,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,8780,Tulare County,California,1
CA,0610999999,6,109,NCNTY06109N06109,"Tuolumne County, CA",Tuolumne County,60200,21100,24100,27100,30100,32550,34950,37350,39750,12650,16240,20420,24600,28780,32960,37140,39750,33750,38550,43350,48150,52050,55900,59750,63600,9999,Tuolumne County,California,0
CA,0611199999,6,111,METRO37100M37100,"Oxnard-Thousand Oaks-Ventura, CA MSA",Ventura County,85600,35000,40000,45000,49950,53950,57950,61950,65950,21000,24000,27000,29950,32350,34750,37150,41320,55950,63950,71950,79900,86300,92700,99100,105500,8735,Ventura County,California,1
CA,0611399999,6,113,METRO40900MM9270,"Yolo, CA HUD Metro FMR Area",Yolo County,74700,26150,29900,33650,37350,40350,43350,46350,49350,15700,17950,20420,24600,28780,32960,37140,41320,41850,47800,53800,59750,64550,69350,74100,78900,9270,Yolo County,California,1
CA,0611599999,6,115,METRO49700M49700,"Yuba City, CA MSA",Yuba County,55500,21000,24000,27000,29950,32350,34750,37150,39550,12600,16240,20420,24600,28780,32960,37140,39550,33550,38350,43150,47900,51750,55600,59400,63250,9340,Yuba County,California,1
